shot_number,technical_description,number_of_shots,cost_per_shot,total_cost,total_mandays,day_rate
79.7,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.8,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.9,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
79.10,Allotment for Moderate  Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
80.1,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.2,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.3,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.4,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.5,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.6,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.7,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.8,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.9,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
80.10,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 10 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
81.1,Burning skin.,1,3500.0,3500.0,5.0,700
82.1,Set extension.,1,5600.0,5600.0,8.0,700
83.1,Rig removal.,1,1400.0,1400.0,2.0,700
84.1,Rig Removal. Gore. CG sword.,1,6300.0,6300.0,9.0,700
85.1,CG Temple.,1,8400.0,8400.0,12.0,700
86.1,Blood and wounds. CG arrow.,1,7700.0,7700.0,11.0,700
87.1,Blood and wounds. CG arrow.,1,7700.0,7700.0,11.0,700
88.1,"Fire, destruction, set extension.",1,9100.0,9100.0,13.0,700
89.1,Fire enhancement,1,2800.0,2800.0,4.0,700
90.1,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.2,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.3,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.4,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.5,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.6,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.7,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.8,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.9,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.10,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.11,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.12,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.13,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.14,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
90.15,Alottment for fire enhancement for this scene. Assumes 15 shots based on script.,1,3500.0,3500.0,5.0,700
91.1,CG beam and fire.,1,9800.0,9800.0,14.0,700
92.1,CG beam and fire.,1,9800.0,9800.0,14.0,700
93.1,Allotment for BG burning tent fire. Assumes 7 shots based on script.,1,3500.0,3500.0,5.0,700
93.2,Allotment for BG burning tent fire. Assumes 7 shots based on script.,1,3500.0,3500.0,5.0,700
93.3,Allotment for BG burning tent fire. Assumes 7 shots based on script.,1,3500.0,3500.0,5.0,700
93.4,Allotment for BG burning tent fire. Assumes 7 shots based on script.,1,3500.0,3500.0,5.0,700
93.5,Allotment for BG burning tent fire. Assumes 7 shots based on script.,1,3500.0,3500.0,5.0,700
93.6,Allotment for BG burning tent fire. Assumes 7 shots based on script.,1,3500.0,3500.0,5.0,700
93.7,Allotment for BG burning tent fire. Assumes 7 shots based on script.,1,3500.0,3500.0,5.0,700
93.1,Stomach gore enhancement,1,3500.0,3500.0,5.0,700
94.1,Stomach gore enhancement,1,3500.0,3500.0,5.0,700
95.1,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.2,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.3,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.4,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.5,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.6,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.7,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.8,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.9,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.10,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.11,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.12,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.13,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.14,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.15,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.16,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
95.17,Alottment for fire enhancement for this scene. Assumes 17 shots based on script.,1,3500.0,3500.0,5.0,700
96.1,CG beam and fire.,1,9800.0,9800.0,14.0,700
97.1,CG scimitar and gore.,1,8400.0,8400.0,12.0,700
98.1,CG scimitar and gore.,1,8400.0,8400.0,12.0,700
99.1,CG Castle Siracusa,1,8400.0,8400.0,12.0,700
100.1,CG smoldering Mazara,1,10500.0,10500.0,15.0,700
101.1,CG Castle Siracusa,1,8400.0,8400.0,12.0,700
102.1,Alottment for Avola Set extension. Assumes 3 shots based on the script.,1,6300.0,6300.0,9.0,700
102.2,Alottment for Avola Set extension. Assumes 3 shots based on the script.,1,6300.0,6300.0,9.0,700
102.3,Alottment for Avola Set extension. Assumes 3 shots based on the script.,1,6300.0,6300.0,9.0,700
103.1,"Dromon extension, assumes some top deck set is practical. Assumes ocean, sky and dock extension needed. Assumes no crowd needed.",1,9800.0,9800.0,14.0,700
104.1,Siracua gates DMP set extension.,1,6300.0,6300.0,9.0,700
105.1,Siracua gates DMP set extension.,1,6300.0,6300.0,9.0,700
106.1,CG Castle Siracusa,1,8400.0,8400.0,12.0,700
107.1,Alottment for set extension and BG replacements for this scene.  Assumes 4 shots based on scene length.,1,6300.0,6300.0,9.0,700
107.2,Alottment for set extension and BG replacements for this scene.  Assumes 4 shots based on scene length.,1,6300.0,6300.0,9.0,700
107.3,Alottment for set extension and BG replacements for this scene.  Assumes 4 shots based on scene length.,1,6300.0,6300.0,9.0,700
107.4,Alottment for set extension and BG replacements for this scene.  Assumes 4 shots based on scene length.,1,6300.0,6300.0,9.0,700
108.1,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.2,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.3,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.4,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.5,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.6,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.7,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.8,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.9,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.10,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.11,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.12,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.13,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.14,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.15,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.16,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.17,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.18,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.19,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
108.20,Allotment for adding atmosphere. Assumes 20 shots based on script.,1,2800.0,2800.0,4.0,700
109.1,CG Boar. Assumes 3 shots based on script.,1,9800.0,9800.0,14.0,700
109.2,CG Boar. Assumes 3 shots based on script.,1,9800.0,9800.0,14.0,700
109.3,CG Boar. Assumes 3 shots based on script.,1,9800.0,9800.0,14.0,700
110.1,"Gore enhancement, add dead wild boars.",1,7000.0,7000.0,10.0,700
111.1,CG Castle Siracusa,1,5600.0,5600.0,8.0,700
112.1,CG docks and Dromon,1,7700.0,7700.0,11.0,700
113.1,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.2,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.3,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.4,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.5,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.6,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.7,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.8,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.9,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.10,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.11,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
113.12,Allotment for ocean extenstion and sky replacement.  Assumes 12 shots based on the script.,1,5600.0,5600.0,8.0,700
114.1,CG water and Dromon. Assumes practical plate for Mattheous.,1,7700.0,7700.0,11.0,700
115.1,Digi double Matheous for gore. CG sharks and blood. CG ocean and Dromon.,1,19600.0,19600.0,28.0,700
116.1,"CG ships, fire, ocean",1,14000.0,14000.0,20.0,700
117.1,"CG ships, fire, ocean",1,14000.0,14000.0,20.0,700
118.1,Alottment for set extension and BG replacements for this scene.  Assumes 3 shots based on scene length.,1,6300.0,6300.0,9.0,700
118.2,Alottment for set extension and BG replacements for this scene.  Assumes 3 shots based on scene length.,1,6300.0,6300.0,9.0,700
118.3,Alottment for set extension and BG replacements for this scene.  Assumes 3 shots based on scene length.,1,6300.0,6300.0,9.0,700
118.1,Nose gore.,1,6300.0,6300.0,9.0,700
119.1,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 3 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
119.2,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 3 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
119.3,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 3 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
120.1,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 2 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
120.2,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 2 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
121.1,CG Castle,1,5600.0,5600.0,8.0,700
122.1,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
122.2,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
122.3,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
122.4,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
123.1,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
123.2,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
123.3,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
123.4,Allotment for Mild Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 4 shots for this scene based on the script.,1,2800.0,2800.0,4.0,700
124.1,Fire and smoke.,1,4900.0,4900.0,7.0,700
125.1,Fire and smoke.,1,4900.0,4900.0,7.0,700
126.1,Fire and smoke.,1,4900.0,4900.0,7.0,700
127.1,Fire and smoke.,1,4900.0,4900.0,7.0,700
128.1,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.2,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.3,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.4,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.5,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.6,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.7,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.8,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.9,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.10,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.11,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.12,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.13,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.14,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.15,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.16,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.17,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.18,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.19,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.20,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.21,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.22,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.23,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.24,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.25,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.26,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.27,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.28,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.29,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
128.30,Allotment for Roman Basilica set extension. As well as adding smoke. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 30 shots for this scene based on the script.,1,8400.0,8400.0,12.0,700
129.1,CG gore and blade. Smoke.,1,9100.0,9100.0,13.0,700
130.1,CG docks and burning Siracusa extension.,1,11200.0,11200.0,16.0,700
131.1,CG ships and flaming arrows.,1,8400.0,8400.0,12.0,700
